,phrase,label,sentiment,subjectivity,language,count
Deutschland,,,,,,
Berlin,,,,,,
Ukraine,,,,,,
Russland,,,,,,
Europa,,,,,,
Deutschlands,,,,,,
USA,,,,,,
Bund,,,,,,
Gaspreisbremse,,,,,,
Frankreich,,,,,,
Brüssel,,,,,,
Katar,,,,,,
den USA,,,,,,
Europas,,,,,,
Düsseldorf,,,,,,
Ostsee,,,,,,
Spanien,,,,,,
Wilhelmshaven,,,,,,
Bayern,,,,,,
China,,,,,,
Deutschland.,,,,,,
EU-Gipfel,,,,,,
Kiew,,,,,,
Hamburg,,,,,,
München,,,,,,
Maskenpflicht,,,,,,
Russlands,,,,,,
Großbritannien,,,,,,
Österreich,,,,,,
Staaten,,,,,,
Strompreisbremse,,,,,,
Türkei,,,,,,
Niedersachsen,,,,,,
Italien,,,,,,
Sachsen-Anhalt,,,,,,
Audioinhalten,,,,,,
Sachsen,,,,,,
"Podcasts
",,,,,,
Stadt,,,,,,
Bundesrepublik,,,,,,
Straße,,,,,,
Washington,,,,,,
Ukraine-Kriegs,,,,,,
Energiepreisbremsen,,,,,,
Sachsens,,,,,,
Spaniens,,,,,,
Polen,,,,,,
Schweden,,,,,,
Moskau,,,,,,
Br\u00fcssel,,,,,,
Thüringen,,,,,,
Norwegen,,,,,,
Paris,,,,,,
Schweiz,,,,,,
NRW,,,,,,
Berlins,,,,,,
Bonn,,,,,,
Lubmin,,,,,,
Rheinland-Pfalz,,,,,,
Ägypten,,,,,,
Frankfurt,,,,,,
Moldau,,,,,,
Wien,,,,,,
Nordrhein-Westfalen,,,,,,
Kreml,,,,,,
Deutsche Wetterdienst,,,,,,
Alpen,,,,,,
Hessen,,,,,,
Brüssel.,,,,,,
Qualitätsartikel,,,,,,
Russland.,,,,,,
Japan,,,,,,
Bremen,,,,,,
Nordsee,,,,,,
Luxemburg,,,,,,
New York,,,,,,
US-Präsident,,,,,,
Brandenburg,,,,,,
Bayerns,,,,,,
Privacy Center,,,,,,
Mecklenburg-Vorpommern,,,,,,
Nord-Stream-Pipelines,,,,,,
Prag,,,,,,
Chile,,,,,,
Cherson,,,,,,
Scholz,,,,,,
Berliner Stadtmission,,,,,,
…,,,,,,
Lauterbach,,,,,,
Insel Ischia,,,,,,
Iran,,,,,,
Dänemark,,,,,,
Irland,,,,,,
Österreichs,,,,,,
Friedrichshain,,,,,,
Griechenland,,,,,,
Pyrenäen,,,,,,
Lecks,,,,,,
Landes,,,,,,
Union,,,,,,
Brandenburg.,,,,,,
Warmwasser,,,,,,
Finanzminister,,,,,,
Afghanistan,,,,,,
Freising,,,,,,
Hannover,,,,,,
Lustenau,,,,,,
Leipzig,,,,,,
Bundesanwaltschaft,,,,,,
Bordeaux,,,,,,
Hamburgs,,,,,,
Lützerath,,,,,,
Schleswig-Holstein,,,,,,
Erde,,,,,,
Bulgarien,,,,,,
Frankreichs,,,,,,
Minus,,,,,,
Gasspeicherverband,,,,,,
England,,,,,,
Horn von Afrika,,,,,,
Berlin-Neu-Hohenschönhausen,,,,,,
Bundeswirtschaftsminister,,,,,,
Ostdeutschland,,,,,,
Preisbremsen,,,,,,
Bussen,,,,,,
Briten,,,,,,
Saarland,,,,,,
Schleswig-Holstein.,,,,,,
Vereinigten Staaten,,,,,,
Winter.,,,,,,
London,,,,,,
Unfällen,,,,,,
Preisbremse,,,,,,
Energiepreisbremse,,,,,,
Brandenburgs,,,,,,
Barcelona,,,,,,
DÃ¼rre,,,,,,
Wilhelmshaven.,,,,,,
Frankfurt/Main,,,,,,
Baden-Württemberg,,,,,,
EU-Staaten,,,,,,
Brunsbüttel,,,,,,
München.,,,,,,
Charkiw,,,,,,
Länderkammer,,,,,,
Hamburg.,,,,,,
Erding,,,,,,
Marokko,,,,,,
Spaniens Küste,,,,,,
Rehden,,,,,,
Thüringens,,,,,,
Haidach,,,,,,
Halle,,,,,,
Libanon,,,,,,
Gas-Lecks,,,,,,
Israel,,,,,,
Notfallplänen,,,,,,
Afrika,,,,,,
Buffalo,,,,,,
Biesenbrower Straße,,,,,,
Bundes,,,,,,
Sevilla,,,,,,
Land Berlin,,,,,,
Vorarlberg,,,,,,
Stade,,,,,,
Mitteldeutschland,,,,,,
Mars,,,,,,
Landkreis Gifhorn,,,,,,
San Francisco,,,,,,
Weimar,,,,,,
Hessen.,,,,,,
Tierheim Berlin,,,,,,
MÃ¼nchner,,,,,,
EU-Gipfels,,,,,,
Athen,,,,,,
Selenskij,,,,,,
Estland,,,,,,
Afrikas,,,,,,
Kiews,,,,,,
Ungarn,,,,,,
Mittelmeer,,,,,,
Emirat,,,,,,
Oberösterreich,,,,,,
Stadtmission Berlin,,,,,,
Weihnachtsmarktwetter,,,,,,
Simmering,,,,,,
Portugal,,,,,,
Niedergailbach,,,,,,
Sa…,,,,,,
Gaspreisbremse:,,,,,,
Kreises,,,,,,
Schleswig-Holsteins,,,,,,
Brüsseler,,,,,,
Niedersachsen.,,,,,,
Offenburg,,,,,,
Landkreisen,,,,,,
Neuschnee am Wochenende,,,,,,
bayerischen Bergen,,,,,,
Südafrika,,,,,,
Iberischen Halbinsel,,,,,,
Grimma,,,,,,
Süddeutschland,,,,,,
Kalifornien,,,,,,
Knappes,,,,,,
Entlastungspaket,,,,,,
Berlin-Friedrichshain,,,,,,
Russland?,,,,,,
Landkreis Ebersberg.,,,,,,
Alster,,,,,,
Rhein,,,,,,
Klimaaktivisten,,,,,,
Wismar,,,,,,
Leyen,,,,,,
Niederösterreich,,,,,,
Pakistan,,,,,,
Baden-Württemberg.,,,,,,
Landkreis Erie,,,,,,
Weinviertel,,,,,,
Niederlande,,,,,,
Kalte,,,,,,
Arbeitsplatz,,,,,,
Lichterfelde,,,,,,
LNG-Terminals,,,,,,
Salzburg,,,,,,
Vorarlberger,,,,,,
Oberpfalz,,,,,,
EU-Streit,,,,,,
Corona: Bayern,,,,,,
Burgund,,,,,,
Gasbedarfs,,,,,,
Dresden,,,,,,
Namibia,,,,,,
Schwerin,,,,,,
Kasseler,,,,,,
Kataloniens,,,,,,
Corona-Isolationspflicht,,,,,,
Constellr,,,,,,
IEA-Chef,,,,,,
Österreicher,,,,,,
Golfstaat,,,,,,
Fracking-Gas,,,,,,
Asien,,,,,,
Kanada,,,,,,
Brunsbüttel.,,,,,,
Gases,,,,,,
Magdeburg,,,,,,
Main-Kinzig-Kreis,,,,,,
