0,1,2,3,4,word,summary
70640.51242679343,-1.7164157145828702,-0.0031686999139482865,0.0041270238313145,-0.009455744758570929,summaryOfAllWords,56129.365577924444
-3.52733898637791,-0.49300086214983463,0.17214566831892858,-0.023571887902113686,0.10759254269307515,EU-Energiekommissar,1.6949438518827746
-3.5075712084462154,-0.4753609677134128,0.14927837923900072,-0.023671250539973383,0.10366390691565207,Dombrovskis,1.7193603927604932
-3.507571208446278,-0.47536096771333064,0.14927837923899726,-0.023671250539935917,0.10366390691566355,eu-energiekommissar dombrovski,1.7193603927604932
9.72481119481341,10.147700568449114,-0.8718935154156517,-0.3147706030512501,-0.8222513308798403,Nord,18.50752777986628
-3.4914457024767254,-0.4608984639462871,0.13084990887558276,-0.023751255790478834,0.10049946964223892,dombrovski nord,1.7393406083336644
8.413920838854398,9.097223111736199,-0.8139287844102925,-0.30701022029818587,-0.8685389581859896,Stream,16.83708171676065
8.413920838854398,9.097223111736199,-0.8139287844102925,-0.30701022029818587,-0.8685389581859896,nord stream,16.83708171676065
-3.4625442746467328,-0.4348264630797767,0.09832050920898071,-0.023892553555162694,0.09491773364612283,Eis,1.7752831241647418
-3.4625442746467328,-0.4348264630797767,0.09832050920898071,-0.023892553555162694,0.09491773364612283,stream eis,1.7752831241647418
-3.4546689400495874,-0.4276906407778723,0.089566411296604,-0.02393063502187562,0.09341659022425364,gelegt,1.7851051315915438
-3.4546689400495874,-0.4276906407778723,0.089566411296604,-0.02393063502187562,0.09341659022425364,eis leg,1.7851051315915438
123.14470296208867,96.13975107688603,9.581677010617847,-1.4682546310316238,2.5481844186274385,Die,161.2512509803126
-3.417925424712137,-0.394235128742466,0.049333475077692,-0.024106258960439827,0.0865235370730618,leg die,1.8310794723750965
1.0022088500844135,3.588919366386197,-1.8734646863324829,-0.053968801962449846,-0.1782015181863467,EU-Staaten,7.580890605596243
-2.2644805983758864,0.6905372367851044,-0.8430275162367539,-0.029826066020626735,-0.05986635746990886,die eu-staat,3.3260059086945626
-2.357888064181763,0.6032093545910603,-0.7900124877039537,-0.029299667356586036,-0.05174709421586766,kämpfen,3.2036448751794566
-3.362276691725105,-0.3431186583799064,-0.009733866002976644,-0.02436707902748075,0.07642448088807526,eu-staat kämpf,1.9011327474870015
-1.3907873255186056,1.4931654069758638,-1.2448457340932197,-0.03532328743425594,-0.11705160507745473,weiterhin,4.469879708363803
-3.3177081784156552,-0.3018565274019833,-0.0554778638518557,-0.02457280365926932,0.06862362851438969,kämpf weiterhin,1.9575622715693297
2.270420843855814,4.660970282424176,-2.067373448503373,-0.06509891427233543,-0.18207762180755405,extrem,9.218127860268872
-2.6043383123978603,0.3715056126420942,-0.6376010929034754,-0.02797365099356936,-0.027851047340444014,weiterhin extrem,2.8810755385715776
25.360884916276188,22.821954187038756,-1.728857066143158,0.2089943469998625,0.30868019400390634,hohen,38.52329473508488
-0.19538771436763888,2.555138607547967,-1.6172009530700482,-0.044139955019309715,-0.15950293465871565,extrem hoch,6.028099754956297
8.503515102379426,9.751141459631526,-2.4718880576508906,-0.12532479929381662,-0.08757801331853043,Gaspreisen,17.203673006877953
15.53651016117516,15.331897893054556,-2.467881197594327,-0.1982000357949334,0.11490688388337428,hoch gaspreis,26.155075828892308
-3.051110445155381,-0.05142860225355203,-0.3029856716444749,-0.025791337281896445,0.02684331050872825,weiteren,2.2994572841551366
-3.271476651326254,-0.25880757349159605,-0.10151976522297967,-0.024784361605338676,0.06079277756098743,gaspreis weit,2.0163633941899404
-3.3362064741243223,-0.31901359608879865,-0.03665656465320163,-0.02448768195385685,0.07183093693198599,Verknappung,1.9341085975332157
-3.3362064741243223,-0.31901359608879865,-0.03665656465320163,-0.02448768195385685,0.07183093693198599,weit verknappung,1.9341085975332157
-3.4055062236967193,-0.3828711130985736,0.03595898609156538,-0.024164944308395452,0.08423450652064508,wertvollen,1.846671064949042
-3.4055062236967193,-0.3828711130985736,0.03595898609156538,-0.024164944308395452,0.08423450652064508,verknappung wertvoll,1.846671064949042
-2.48775312817698,0.4813353476689432,-0.7121066447550316,-0.028589500574635742,-0.039628941782439,Gutes,3.0336002520338283
-3.4367157924051157,-0.4113763311636918,0.0697834818267208,-0.024016845322230227,0.09002591484618146,wertvoll gute,1.807538730617628
-2.9428430224485322,0.05110767470022332,-0.3922453503759115,-0.02629731300784,0.012010880473166627,Unterdessen,2.4397459114103426
-3.474910941424956,-0.44600523499182354,0.11216164529495444,-0.023832402407953625,0.09729206830866681,verzögert,1.7598834615098404
-3.474910941424956,-0.44600523499182354,0.11216164529495444,-0.023832402407953625,0.09729206830866681,unterdessen verzöger,1.7598834615098404
-2.7361759776510244,0.24691057392613994,-0.547555524788203,-0.027301709817076664,-0.013397734174580572,Inbetriebnahme,2.708843485772474
-3.501737320388209,-0.47013603792868996,0.142588068541887,-0.02370029871870772,0.10251490722846592,verzöger inbetriebnahme,1.7265825078249049
-3.521927990159838,-0.4881824691547573,0.16585578954351776,-0.02359923495166923,0.10651172842992487,europäisch-russischen,1.7016187193671821
-3.521927990159838,-0.4881824691547573,0.16585578954351776,-0.02359923495166923,0.10651172842992487,inbetriebnahme europäisch-russisch,1.7016187193671821
-3.5400628366215177,-0.5042998820496697,0.1870272815570262,-0.023507114315540308,0.1101502694923483,Erdgaspipeline,1.6792744320584954
-3.5400628366215177,-0.5042998820496697,0.1870272815570262,-0.023507114315540308,0.1101502694923483,europäisch-russisch erdgaspipeline,1.6792744320584954
