,summary,Wetterereignisse,Landwirtschaft,Energie,Stadt,word
summaryOfAllWords,56129.365577924444,7736.098348381976,1076.101825155099,41821.76572602901,5495.399678333658,
EU-Energiekommissar,1.6949438518827746,0.06145042672283398,0.2688859950134233,-0.034648824754581885,0.10394739552854006,EU-Energiekommissar
Dombrovskis,1.7193603927604932,0.04714768428128582,0.2545832525718751,-0.029133837041497027,0.08964465308699208,Dombrovskis
eu-energiekommissar dombrovski,1.7193603927604932,0.04714768428128582,0.2545832525718751,-0.029133837041497027,0.08964465308699208,eu-energiekommissar dombrovski
Nord,18.50752777986628,-1.2138090455488102,-2.121641946775576,0.2031244897453202,-0.8032518391641367,Nord
dombrovski nord,1.7393406083336644,0.03559396059880617,0.24302952888939555,-0.024757773185093413,0.07809092940451239,dombrovski nord
Stream,16.83708171676065,-1.10070837468948,-2.0270480895034453,0.191124757773014,-0.6798610472222356,Stream
nord stream,16.83708171676065,-1.10070837468948,-2.0270480895034453,0.191124757773014,-0.6798610472222356,nord stream
Eis,1.7752831241647418,0.015140124494458208,0.2225756927850472,-0.017179075022750002,0.05763709330016428,Eis
stream eis,1.7752831241647418,0.015140124494458208,0.2225756927850472,-0.017179075022750002,0.05763709330016428,stream eis
gelegt,1.7851051315915438,0.009622730526310136,0.21705829881689928,-0.015170785083392247,0.05211969933201611,gelegt
eis leg,1.7851051315915438,0.009622730526310136,0.21705829881689928,-0.015170785083392247,0.05211969933201611,eis leg
Die,161.2512509803126,-0.9245942796370228,-4.28642810409894,0.16883314062012061,-0.44205227799588487,Die
leg die,1.8310794723750965,-0.015805627286199886,0.19162994100438932,-0.0061072739752551924,0.026691341519506123,leg die
EU-Staaten,7.580890605596243,-1.4365306456206666,-1.2290950773300773,0.22952768585767994,-1.3940336768149606,EU-Staaten
die eu-staat,3.3260059086945626,-0.6126721160121614,-0.4052365477215722,0.14012214355742195,-0.5701751472064553,die eu-staat
kämpfen,3.2036448751794566,-0.575189143830459,-0.36775357553986987,0.13373744898050893,-0.5326921750247531,kämpfen
eu-staat kämpf,1.9011327474870015,-0.05334985014017328,0.154085718150416,0.006719159965345995,-0.010852881334467263,eu-staat kämpf
weiterhin,4.469879708363803,-0.90826145610909,-0.700825887818501,0.1818800566018088,-0.865764487303384,weiterhin
kämpf weiterhin,1.9575622715693297,-0.08259991888823302,0.12483564940235622,0.016276044268060116,-0.040102950082527004,kämpf weiterhin
extrem,9.218127860268872,-1.63207192364537,-1.4246363553547805,0.24133179644996236,-1.5895749548396638,extrem
weiterhin extrem,2.8810755385715776,-0.46906363405163304,-0.2616280657610437,0.11405209598573675,-0.4265666652459269,weiterhin extrem
hohen,38.52329473508488,-2.3649805629892557,-2.854727506809778,0.27523042185398805,-3.0196661062946615,hohen
extrem hoch,6.028099754956297,-1.2073317879528733,-0.999896219662284,0.21215650640795664,-1.1648348191471671,extrem hoch
Gaspreisen,17.203673006877953,-2.256022866659318,-2.0485872983687288,0.2662401235976253,-2.2135258978536116,Gaspreisen
hoch gaspreis,26.155075828892308,-2.674943234756763,-2.4675076664661737,0.2759121692747134,-2.632446265951057,hoch gaspreis
weiteren,2.2994572841551366,-0.243573090406846,-0.036137522116256725,0.0628207143333319,-0.2010761216011398,weiteren
gaspreis weit,2.0163633941899404,-0.11219554774596362,0.09524002054462562,0.025577357679958352,-0.06969857894025766,gaspreis weit
Verknappung,1.9341085975332157,-0.07054650595613762,0.13688906233445167,0.012382689565772714,-0.028049537150431625,Verknappung
weit verknappung,1.9341085975332157,-0.07054650595613762,0.13688906233445167,0.012382689565772714,-0.028049537150431625,weit verknappung
wertvollen,1.846671064949042,-0.024284552555902762,0.18315101573468634,-0.003153770002612158,0.018212416249803205,wertvollen
verknappung wertvoll,1.846671064949042,-0.024284552555902762,0.18315101573468634,-0.003153770002612158,0.018212416249803205,verknappung wertvoll
Gutes,3.0336002520338283,-0.5206500748856315,-0.3132145065950423,0.12393037267156685,-0.4781531060799255,Gutes
wertvoll gute,1.807538730617628,-0.002866061275105112,0.20456950701548407,-0.010680296085872433,0.03963090753060093,wertvoll gute
Unterdessen,2.4397459114103426,-0.30279385794112496,-0.09535828965053593,0.07768252079693241,-0.26029688913541893,Unterdessen
verzögert,1.7598834615098404,0.023852449467181996,0.23128801775777125,-0.020381275967425883,0.06634941827288804,verzögert
unterdessen verzöger,1.7598834615098404,0.023852449467181996,0.23128801775777125,-0.020381275967425883,0.06634941827288804,unterdessen verzöger
Inbetriebnahme,2.708843485772474,-0.40742174451325175,-0.19998617622266246,0.10141880240593093,-0.3649247757075456,Inbetriebnahme
verzöger inbetriebnahme,1.7265825078249049,0.042956015500230926,0.25039158379081994,-0.027538144428070458,0.08545298430593683,verzöger inbetriebnahme
europäisch-russischen,1.7016187193671821,0.05752005539178132,0.2649556236823705,-0.03312240373305748,0.10001702419748729,europäisch-russischen
inbetriebnahme europäisch-russisch,1.7016187193671821,0.05752005539178132,0.2649556236823705,-0.03312240373305748,0.10001702419748729,inbetriebnahme europäisch-russisch
Erdgaspipeline,1.6792744320584954,0.07073822682748279,0.27817379511807216,-0.03828920664418609,0.11323519563318887,Erdgaspipeline
europäisch-russisch erdgaspipeline,1.6792744320584954,0.07073822682748279,0.27817379511807216,-0.03828920664418609,0.11323519563318887,europäisch-russisch erdgaspipeline
erdgaspipeline nord,1.666828538376033,0.07817729919822732,0.2856128674888166,-0.04123916347030759,0.12067426800393327,erdgaspipeline nord
Angeblich,1.6560556678632017,0.08466137001621325,0.29209693830680233,-0.04383556687236274,0.12715833882191913,Angeblich
aufgrund,3.8819764360970783,0.1899236281131746,-0.5598088051221358,-0.17109843259692206,0.6862809559878509,aufgrund
angeblich aufgrund,1.6496288646852555,0.08854970915565503,0.2959852774462441,-0.045403923608480896,0.1310466779613609,angeblich aufgrund
bürokratischer,1.644283127476395,0.09179554080803727,0.2992311090986264,-0.04671969998562098,0.13429250961374345,bürokratischer
aufgrund bürokratisch,1.644283127476395,0.09179554080803727,0.2992311090986264,-0.04671969998562098,0.13429250961374345,aufgrund bürokratisch
Hürden,1.6361669988923724,0.09674373074013176,0.3041792990307211,-0.04873716391424766,0.1392406995458379,Hürden
bürokratisch hürde,1.6361669988923724,0.09674373074013176,0.3041792990307211,-0.04873716391424766,0.1392406995458379,bürokratisch hürde
nan,30.372088388372507,-0.6924342961875071,-0.028300996597073497,0.1552284413905663,-0.8419460978163192,nan
Zurück,1.972186498115189,-0.09004278351571435,0.11739278477487482,0.018649374908278796,-0.04754581471000831,Zurück
Thema,6.572261748514253,-1.29375798594057,-1.0863224176499808,0.21921470577489502,-1.251261017134864,Thema
zurück thema,1.8171110275634736,-0.008147851151586267,0.19928771713900292,-0.008803958652599019,0.03434911765411988,zurück thema
Heizen,7.918219535669864,-1.480066333177663,-1.2726307648870738,0.23237174389875156,-1.437569364371957,Heizen
thema heizen,1.846671064949042,-0.024284552555902762,0.18315101573468634,-0.003153770002612158,0.018212416249803205,thema heizen
Holz,5.837706873410627,-1.175238019793271,-0.9678024515026818,0.20936248884460404,-1.132741050987565,Holz
heizen holz,2.823352993440534,-0.4488251421361123,-0.24138957384552315,0.1100072270408367,-0.40632817333040616,heizen holz
Ist,4.21460585702867,0.45489483424010446,-0.642020467915493,-0.021826756992568093,-0.8069590674003762,Ist
holz sei,1.9493840963394033,-0.07841343338038326,0.12902213491020592,0.014930803993845127,-0.035916464574677266,holz sei
sei holz,2.5872539672930777,-0.36149702769278574,-0.15406145940219654,0.09137403526160487,-0.31900005888707955,sei holz
Alternative,8.226068018479145,-1.5182080972189373,-1.3107725289283483,0.23475743513454767,-1.4757111284132314,Alternative
holz alternative,2.1006839613955837,-0.15316294633093713,0.05427262195965209,0.03787313889072845,-0.11066597752523105,holz alternative
Gas,269.91603519193956,-2.689461999493766,-4.801575320298942,0.27531675124238164,-2.36163957306217,Gas
alternative gas,4.178752877293905,-0.8409128060319636,-0.6334772377413742,0.17356072492875382,-0.7984158372262575,alternative gas
detektor.fm,2.305109793328416,-0.2460282667209505,-0.03859269843036132,0.0634590306937318,-0.20353129791524438,detektor.fm
Das,50.97101472478663,-1.0865877222494995,-3.1347215228646856,0.16956253234856844,-0.33710884647450784,Das
detektor.fm das,2.0163633941899404,-0.11219554774596362,0.09524002054462562,0.025577357679958352,-0.06969857894025766,detektor.fm das
Podcast-Radio,1.9751509040384565,-0.0915447612685879,0.11589080702200147,0.019125498458591964,-0.04904779246288176,Podcast-Radio
